symbol,name,exchange_name,quote_type,output_amount_formatted,price_per_token,slippage_limit_percent,quoted_at
uSHIB,uSHIB Token,KyberSwap,SELL,993.93717700,0.00001238,0.50,2025-06-09 05:21:42.572977+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:21:42.405539+00
uDOGE,uDOGE Token,KyberSwap,SELL,991.84970600,0.18110654,0.50,2025-06-09 05:21:41.923318+00
uDOGE,uDOGE Token,Universal Assets,BUY,5476.60898952,0.18259474,0.20,2025-06-09 05:21:41.767868+00
uSEI,uSEI Token,KyberSwap,SELL,840.97682100,0.15828811,0.50,2025-06-09 05:21:41.40385+00
uSEI,uSEI Token,Universal Assets,BUY,5312.94989111,0.18821935,0.20,2025-06-09 05:21:41.193062+00
uBTC,Bitcoin,KyberSwap,SELL,993.90722400,105289.64230564,0.50,2025-06-09 05:21:40.822545+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943974,105935.08102486,0.20,2025-06-09 05:21:40.619682+00
uAPT,uAPT Token,KyberSwap,SELL,956.91094700,4.49643639,0.50,2025-06-09 05:21:23.52452+00
uAPT,uAPT Token,Universal Assets,BUY,212.81540830,4.69890788,0.20,2025-06-09 05:21:23.317148+00
uLINK,uLINK Token,KyberSwap,SELL,990.38648600,13.54503935,0.50,2025-06-09 05:21:22.884181+00
uLINK,uLINK Token,Universal Assets,BUY,73.11802207,13.67651875,0.20,2025-06-09 05:21:22.727271+00
uSHIB,uSHIB Token,KyberSwap,SELL,994.04066000,0.00001239,0.50,2025-06-09 05:21:22.308838+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:21:22.136937+00
uDOGE,uDOGE Token,KyberSwap,SELL,991.95319900,0.18112544,0.50,2025-06-09 05:21:21.711445+00
uDOGE,uDOGE Token,Universal Assets,BUY,5476.60898952,0.18259474,0.20,2025-06-09 05:21:21.546235+00
uSEI,uSEI Token,KyberSwap,SELL,841.06238300,0.15830422,0.50,2025-06-09 05:21:21.180668+00
uSEI,uSEI Token,Universal Assets,BUY,5312.94989111,0.18821935,0.20,2025-06-09 05:21:21.022872+00
uBTC,Bitcoin,KyberSwap,SELL,993.75547300,105298.10172506,0.50,2025-06-09 05:21:20.660431+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943754,105959.77037206,0.20,2025-06-09 05:21:20.465937+00
uAPT,uAPT Token,KyberSwap,SELL,956.90381000,4.49640286,0.50,2025-06-09 05:21:03.88169+00
uAPT,uAPT Token,Universal Assets,BUY,212.81540830,4.69890788,0.20,2025-06-09 05:21:03.681493+00
uLINK,uLINK Token,KyberSwap,SELL,989.97841800,13.54493924,0.50,2025-06-09 05:21:03.31252+00
uLINK,uLINK Token,Universal Assets,BUY,73.08843552,13.68205507,0.20,2025-06-09 05:21:03.150838+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.23578200,0.00001239,0.50,2025-06-09 05:21:02.76103+00
uSHIB,uSHIB Token,Universal Assets,BUY,80191313.27163844,0.00001247,0.20,2025-06-09 05:21:02.579127+00
uDOGE,uDOGE Token,KyberSwap,SELL,991.94580000,0.18112409,0.50,2025-06-09 05:21:02.212023+00
uDOGE,uDOGE Token,Universal Assets,BUY,5476.60898952,0.18259474,0.20,2025-06-09 05:21:02.047235+00
uSEI,uSEI Token,KyberSwap,SELL,841.05331300,0.15835483,0.50,2025-06-09 05:21:01.66599+00
uSEI,uSEI Token,Universal Assets,BUY,5311.19455402,0.18828156,0.20,2025-06-09 05:21:01.506139+00
uBTC,Bitcoin,KyberSwap,SELL,993.60004700,105297.98372076,0.50,2025-06-09 05:21:01.144103+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943608,105976.22659006,0.20,2025-06-09 05:21:00.983013+00
uAPT,uAPT Token,KyberSwap,SELL,956.92128900,4.49648499,0.50,2025-06-09 05:20:43.310779+00
uAPT,uAPT Token,Universal Assets,BUY,212.81540830,4.69890788,0.20,2025-06-09 05:20:43.149821+00
uLINK,uLINK Token,KyberSwap,SELL,990.19929900,13.54534972,0.50,2025-06-09 05:20:42.748467+00
uLINK,uLINK Token,Universal Assets,BUY,73.10252741,13.67941760,0.20,2025-06-09 05:20:42.587576+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.26591400,0.00001239,0.50,2025-06-09 05:20:42.211241+00
uSHIB,uSHIB Token,Universal Assets,BUY,80191313.27163844,0.00001247,0.20,2025-06-09 05:20:42.015451+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.03040100,0.18112957,0.50,2025-06-09 05:20:41.632984+00
uDOGE,uDOGE Token,Universal Assets,BUY,5476.91015031,0.18258470,0.20,2025-06-09 05:20:41.47707+00
uSEI,uSEI Token,KyberSwap,SELL,841.07996300,0.15839237,0.50,2025-06-09 05:20:41.108558+00
uSEI,uSEI Token,Universal Assets,BUY,5310.10389730,0.18832023,0.20,2025-06-09 05:20:40.946173+00
uBTC,Bitcoin,KyberSwap,SELL,993.68853500,105309.56626913,0.50,2025-06-09 05:20:40.533923+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943588,105978.44551878,0.20,2025-06-09 05:20:40.219887+00
uLINK,uLINK Token,KyberSwap,SELL,990.18929400,13.54397564,0.50,2025-06-09 05:20:22.232416+00
uLINK,uLINK Token,Universal Assets,BUY,73.10920517,13.67816813,0.20,2025-06-09 05:20:22.068281+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.16516900,0.00001238,0.50,2025-06-09 05:20:21.692315+00
uSHIB,uSHIB Token,Universal Assets,BUY,80191313.27163844,0.00001247,0.20,2025-06-09 05:20:21.535161+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.18530600,0.18111117,0.50,2025-06-09 05:20:21.119658+00
uDOGE,uDOGE Token,Universal Assets,BUY,5478.32213029,0.18253764,0.20,2025-06-09 05:20:20.949819+00
uSEI,uSEI Token,KyberSwap,SELL,840.99351900,0.15832336,0.50,2025-06-09 05:20:20.505828+00
uSEI,uSEI Token,Universal Assets,BUY,5311.87259111,0.18825753,0.20,2025-06-09 05:20:20.19406+00
uBTC,Bitcoin,KyberSwap,SELL,993.56319900,105299.27608670,0.50,2025-06-09 05:20:19.816784+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943561,105981.45763922,0.20,2025-06-09 05:20:19.66275+00
uAPT,uAPT Token,KyberSwap,SELL,958.77646100,4.49557577,0.50,2025-06-09 05:20:03.926721+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:20:03.740446+00
uLINK,uLINK Token,KyberSwap,SELL,990.31607300,13.54359315,0.50,2025-06-09 05:20:03.322766+00
uLINK,uLINK Token,Universal Assets,BUY,73.12063071,13.67603083,0.20,2025-06-09 05:20:03.130255+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.93449000,0.00001238,0.50,2025-06-09 05:20:02.674435+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:20:02.44985+00
uDOGE,uDOGE Token,KyberSwap,SELL,992.22889600,0.18110604,0.50,2025-06-09 05:20:01.849824+00
uDOGE,uDOGE Token,Universal Assets,BUY,5478.71781085,0.18252446,0.20,2025-06-09 05:20:01.66261+00
uSEI,uSEI Token,KyberSwap,SELL,840.98055300,0.15828713,0.50,2025-06-09 05:20:01.276116+00
uSEI,uSEI Token,Universal Assets,BUY,5313.00665551,0.18821734,0.20,2025-06-09 05:20:01.120333+00
uBTC,Bitcoin,KyberSwap,SELL,993.53811700,105294.29955039,0.50,2025-06-09 05:20:00.715961+00
uBTC,Bitcoin,Universal Assets,BUY,0.00943582,105979.12425175,0.20,2025-06-09 05:20:00.554158+00
uAPT,uAPT Token,KyberSwap,SELL,958.62273700,4.49485498,0.50,2025-06-09 05:19:43.773767+00
uAPT,uAPT Token,Universal Assets,BUY,213.27111581,4.68886748,0.20,2025-06-09 05:19:43.615443+00
uLINK,uLINK Token,KyberSwap,SELL,990.16235300,13.54148965,0.50,2025-06-09 05:19:43.249574+00
uLINK,uLINK Token,Universal Assets,BUY,73.12063730,13.67602960,0.20,2025-06-09 05:19:43.047354+00
uSHIB,uSHIB Token,KyberSwap,SELL,993.78016500,0.00001238,0.50,2025-06-09 05:19:42.683939+00
uSHIB,uSHIB Token,Universal Assets,BUY,80255931.57403299,0.00001246,0.20,2025-06-09 05:19:42.525637+00
