id,token_id,exchange_id,quote_type,input_token_symbol,input_amount,output_token_symbol,output_amount,output_amount_formatted,slippage_limit_percent,price_per_token,user_address,chain_id,quoted_at,expires_at,is_valid
1208828,4,2,BUY,USDC,1000000000,uADA,1575995230991641000000,1575995230991641.00000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:35:39.008540+00:00,,True
1208837,4,1,BUY,USDC,1000000000,uADA,1585204376788991737856,1585204376788991.75000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:35:40.462253+00:00,,True
1208876,4,2,BUY,USDC,1000000000,uADA,1570781097928647000000,1570781097928647.00000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:35:59.415230+00:00,,True
1208878,4,1,BUY,USDC,1000000000,uADA,1584946803819501584384,1584946803819501.50000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:35:59.788847+00:00,,True
1208922,4,2,BUY,USDC,1000000000,uADA,1574714195526396700000,1574714195526396.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:36:20.069099+00:00,,True
1208924,4,1,BUY,USDC,1000000000,uADA,1583134372621809614848,1583134372621809.50000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:36:20.530689+00:00,,True
1208960,4,1,BUY,USDC,1000000000,uADA,1582603347025150345216,1582603347025150.25000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:36:38.200116+00:00,,True
1208976,4,2,BUY,USDC,1000000000,uADA,1576742975051893400000,1576742975051893.50000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:36:41.381765+00:00,,True
1209017,4,2,BUY,USDC,1000000000,uADA,1577434993334753500000,1577434993334753.50000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:02.226492+00:00,,True
1209052,4,1,BUY,USDC,1000000000,uADA,1581870205394026233856,1581870205394026.25000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:19.988614+00:00,,True
1209054,4,2,BUY,USDC,1000000000,uADA,1577546746907202300000,1577546746907202.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:20.404788+00:00,,True
1209096,4,1,BUY,USDC,1000000000,uADA,1581950693519023669248,1581950693519023.75000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:40.627002+00:00,,True
1209098,4,2,BUY,USDC,1000000000,uADA,1578990470581742300000,1578990470581742.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:40.948308+00:00,,True
1209138,4,2,BUY,USDC,1000000000,uADA,1578490473599291000000,1578490473599291.00000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:59.982450+00:00,,True
1209178,4,1,BUY,USDC,1000000000,uADA,1581950628803720511488,1581950628803720.50000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:38:20.331430+00:00,,True
1209183,4,2,BUY,USDC,1000000000,uADA,1578014748516457800000,1578014748516457.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:38:21.160329+00:00,,True
1209224,4,2,BUY,USDC,1000000000,uADA,1578240593834592600000,1578240593834592.50000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:38:40.120750+00:00,,True
1209225,4,1,BUY,USDC,1000000000,uADA,1582170649667693969408,1582170649667694.00000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:38:40.247457+00:00,,True
1209270,4,1,BUY,USDC,1000000000,uADA,1581703209434971897856,1581703209434972.00000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:39:00.684059+00:00,,True
1209271,4,2,BUY,USDC,1000000000,uADA,1578240593834592600000,1578240593834592.50000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:39:00.716622+00:00,,True
1209309,4,2,BUY,USDC,1000000000,uADA,1578315158403259800000,1578315158403259.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:39:20.536203+00:00,,True
1209321,4,1,BUY,USDC,1000000000,uADA,1581609767839916359680,1581609767839916.25000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:39:22.603228+00:00,,True
1209352,4,1,BUY,USDC,1000000000,uADA,1581595442932229079040,1581595442932229.00000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:39:40.243257+00:00,,True
1209366,4,2,BUY,USDC,1000000000,uADA,1578282119666613200000,1578282119666613.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:39:42.611161+00:00,,True
1209400,4,2,BUY,USDC,1000000000,uADA,1577598660724976800000,1577598660724976.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:40:00.198629+00:00,,True
1209410,4,1,BUY,USDC,1000000000,uADA,1581571653407338659840,1581571653407338.75000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:40:01.966917+00:00,,True
1209442,4,2,BUY,USDC,1000000000,uADA,1578112303875701200000,1578112303875701.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:40:20.627103+00:00,,True
1209448,4,1,BUY,USDC,1000000000,uADA,1581574064618201415680,1581574064618201.50000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:40:21.745790+00:00,,True
1209484,4,2,BUY,USDC,1000000000,uADA,1577741071570362700000,1577741071570362.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:40:40.558458+00:00,,True
1209490,4,1,BUY,USDC,1000000000,uADA,1581344127342786904064,1581344127342787.00000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:40:41.473265+00:00,,True
1209526,4,2,BUY,USDC,1000000000,uADA,1578345006671989000000,1578345006671989.00000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:41:00.304429+00:00,,True
1209536,4,1,BUY,USDC,1000000000,uADA,1581231687113092890624,1581231687113093.00000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:41:02.044342+00:00,,True
1209570,4,2,BUY,USDC,1000000000,uADA,1577990793170801000000,1577990793170801.00000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:41:20.644685+00:00,,True
1209571,4,1,BUY,USDC,1000000000,uADA,1581239060556943982592,1581239060556944.00000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:41:20.828652+00:00,,True
1209609,4,2,BUY,USDC,1000000000,uADA,1578740432502473800000,1578740432502473.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:41:41.399140+00:00,,True
1209650,4,2,BUY,USDC,1000000000,uADA,1578990470581742300000,1578990470581742.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:42:01.007256+00:00,,True
1209656,4,1,BUY,USDC,1000000000,uADA,1581532072101167235072,1581532072101167.25000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:42:02.053221+00:00,,True
1209693,4,1,BUY,USDC,1000000000,uADA,1581523254020045275136,1581523254020045.25000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:42:21.216579+00:00,,True
1209696,4,2,BUY,USDC,1000000000,uADA,1578513535534392300000,1578513535534392.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:42:21.830775+00:00,,True
1209733,4,1,BUY,USDC,1000000000,uADA,1581645327032483053568,1581645327032483.00000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:42:41.136342+00:00,,True
1209740,4,2,BUY,USDC,1000000000,uADA,1578740432502473800000,1578740432502473.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:42:42.226554+00:00,,True
1209776,4,1,BUY,USDC,1000000000,uADA,1581518145301648506880,1581518145301648.50000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:43:01.578912+00:00,,True
1209791,4,2,BUY,USDC,1000000000,uADA,1578897459389574800000,1578897459389574.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:43:04.280194+00:00,,True
1209833,4,2,BUY,USDC,1000000000,uADA,1579246356098313000000,1579246356098313.00000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:43:24.417922+00:00,,True
1209870,4,2,BUY,USDC,1000000000,uADA,1579593738121533800000,1579593738121533.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:43:43.609056+00:00,,True
1209902,4,2,BUY,USDC,1000000000,uADA,1579240587874722200000,1579240587874722.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:44:03.073649+00:00,,True
1209936,4,1,BUY,USDC,1000000000,uADA,1581730323934571397120,1581730323934571.50000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:44:21.966700+00:00,,True
1209942,4,2,BUY,USDC,1000000000,uADA,1578990470581742300000,1578990470581742.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:44:23.025772+00:00,,True
1209979,4,1,BUY,USDC,1000000000,uADA,1581752225913495879680,1581752225913496.00000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:44:42.483852+00:00,,True
1209982,4,2,BUY,USDC,1000000000,uADA,1579240587874722200000,1579240587874722.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:44:43.077021+00:00,,True
