id,token_id,exchange_id,quote_type,input_token_symbol,input_amount,output_token_symbol,output_amount,output_amount_formatted,slippage_limit_percent,price_per_token,user_address,chain_id,quoted_at,expires_at,is_valid
1208882,12,2,BUY,USDC,1000000000,uBERA,497835414269117800000,497835414269117.81250000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:36:00.689422+00:00,,True
1208930,12,2,BUY,USDC,1000000000,uBERA,498081576318178750000,498081576318178.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:36:21.488239+00:00,,True
1208984,12,2,BUY,USDC,1000000000,uBERA,498081576318178750000,498081576318178.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:36:42.661366+00:00,,True
1209025,12,2,BUY,USDC,1000000000,uBERA,498031795883830300000,498031795883830.31250000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:03.520508+00:00,,True
1209062,12,2,BUY,USDC,1000000000,uBERA,497882643717720550000,497882643717720.56250000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:21.736774+00:00,,True
1209106,12,2,BUY,USDC,1000000000,uBERA,498155386426229800000,498155386426229.81250000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:37:42.198983+00:00,,True
1209146,12,2,BUY,USDC,1000000000,uBERA,498355068333489300000,498355068333489.31250000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:38:01.273197+00:00,,True
1209191,12,2,BUY,USDC,1000000000,uBERA,498017728150430400000,498017728150430.37500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:38:22.431026+00:00,,True
1209232,12,2,BUY,USDC,1000000000,uBERA,497899360122411200000,497899360122411.18750000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:38:41.595011+00:00,,True
1209279,12,2,BUY,USDC,1000000000,uBERA,497993530032590850000,497993530032590.87500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-15 06:39:01.967446+00:00,,True
