id,token_id,exchange_id,quote_type,input_token_symbol,input_amount,output_token_symbol,output_amount,output_amount_formatted,slippage_limit_percent,price_per_token,user_address,chain_id,quoted_at,expires_at,is_valid
8952,8,2,BUY,USDC,1000000000,uDOGE,5430287707917618000000,5430.28770792,0.20,0.18415231,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:13:33.126874+00:00,,True
8970,8,1,BUY,USDC,1000000000,uDOGE,5425242165128478064640,5425.24216513,0.50,0.18432357,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:13:38.585932+00:00,,True
8992,8,2,BUY,USDC,1000000000,uDOGE,5430044695773358000000,5430.04469577,0.20,0.18416055,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:13:53.536474+00:00,,True
9012,8,1,BUY,USDC,1000000000,uDOGE,5424873746533317607424,5424.87374653,0.50,0.18433609,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:13:59.711601+00:00,,True
9034,8,2,BUY,USDC,1000000000,uDOGE,5430305257435119000000,5430.30525744,0.20,0.18415171,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:13.418260+00:00,,True
9056,8,1,BUY,USDC,1000000000,uDOGE,5425219154549023965184,5425.21915455,0.50,0.18432435,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:20.512453+00:00,,True
9082,8,2,BUY,USDC,1000000000,uDOGE,5429831635807934000000,5429.83163581,0.20,0.18416777,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:33.844638+00:00,,True
9102,8,1,BUY,USDC,1000000000,uDOGE,5426332452388559912960,5426.33245239,0.50,0.18428653,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:38.019487+00:00,,True
9126,8,2,BUY,USDC,1000000000,uDOGE,5430030044890140000000,5430.03004489,0.20,0.18416104,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:54.408718+00:00,,True
9148,8,1,BUY,USDC,1000000000,uDOGE,5426497198844788342784,5426.49719884,0.50,0.18428094,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:59.713423+00:00,,True
9177,8,2,BUY,USDC,1000000000,uDOGE,5429734017520304000000,5429.73401752,0.20,0.18417108,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:13.677754+00:00,,True
9192,8,1,BUY,USDC,1000000000,uDOGE,5426248808982010396672,5426.24880898,0.50,0.18428937,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:16.191552+00:00,,True
9216,8,2,BUY,USDC,1000000000,uDOGE,5427286001777732000000,5427.28600178,0.20,0.18425416,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:33.013448+00:00,,True
9238,8,1,BUY,USDC,1000000000,uDOGE,5425241185957759156224,5425.24118596,0.50,0.18432360,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:40.504799+00:00,,True
9260,8,2,BUY,USDC,1000000000,uDOGE,5427366960022611000000,5427.36696002,0.20,0.18425141,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:53.860417+00:00,,True
9280,8,1,BUY,USDC,1000000000,uDOGE,5424117152047256567808,5424.11715205,0.50,0.18436180,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:00.619107+00:00,,True
9302,8,2,BUY,USDC,1000000000,uDOGE,5427958530894051000000,5427.95853089,0.20,0.18423133,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:13.673648+00:00,,True
9324,8,1,BUY,USDC,1000000000,uDOGE,5424911736975262744576,5424.91173698,0.50,0.18433480,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:18.365492+00:00,,True
9350,8,2,BUY,USDC,1000000000,uDOGE,5427958530894051000000,5427.95853089,0.20,0.18423133,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:33.760179+00:00,,True
9370,8,1,BUY,USDC,1000000000,uDOGE,5425010017614186938368,5425.01001761,0.50,0.18433146,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:37.734851+00:00,,True
9400,8,2,BUY,USDC,1000000000,uDOGE,5425119129166890000000,5425.11912917,0.20,0.18432775,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:53.904711+00:00,,True
9414,8,1,BUY,USDC,1000000000,uDOGE,5424977204567805526016,5424.97720457,0.50,0.18433257,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:56.148631+00:00,,True
9438,8,2,BUY,USDC,1000000000,uDOGE,5428052447783255000000,5428.05244778,0.20,0.18422814,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:13.775018+00:00,,True
9456,8,1,BUY,USDC,1000000000,uDOGE,5424882278710523199488,5424.88227871,0.50,0.18433580,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:20.022806+00:00,,True
9480,8,2,BUY,USDC,1000000000,uDOGE,5427565905584162000000,5427.56590558,0.20,0.18424465,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:34.023344+00:00,,True
9500,8,1,BUY,USDC,1000000000,uDOGE,5424895986844040167424,5424.89598684,0.50,0.18433533,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:40.595190+00:00,,True
9524,8,2,BUY,USDC,1000000000,uDOGE,5428174201060000000000,5428.17420106,0.20,0.18422401,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:54.369182+00:00,,True
9546,8,1,BUY,USDC,1000000000,uDOGE,5425277963745854750720,5425.27796375,0.50,0.18432235,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:17:59.840985+00:00,,True
9570,8,2,BUY,USDC,1000000000,uDOGE,5424706486022600000000,5424.70648602,0.20,0.18434177,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:18:14.197446+00:00,,True
9592,8,1,BUY,USDC,1000000000,uDOGE,5425374544650874912768,5425.37454465,0.50,0.18431907,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:18:19.716451+00:00,,True
9616,8,2,BUY,USDC,1000000000,uDOGE,5422756925811234000000,5422.75692581,0.20,0.18440804,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:18:34.368287+00:00,,True
9636,8,1,BUY,USDC,1000000000,uDOGE,5424355903725796065280,5424.35590373,0.50,0.18435369,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:18:40.828864+00:00,,True
9660,8,2,BUY,USDC,1000000000,uDOGE,5423761313003700000000,5423.76131300,0.20,0.18437390,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:18:54.574717+00:00,,True
9682,8,1,BUY,USDC,1000000000,uDOGE,5423726799896774180864,5423.72679990,0.50,0.18437507,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:19:01.846127+00:00,,True
9704,8,2,BUY,USDC,1000000000,uDOGE,5423346827463923000000,5423.34682746,0.20,0.18438799,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:19:14.890942+00:00,,True
