id,token_id,exchange_id,quote_type,input_token_symbol,input_amount,output_token_symbol,output_amount,output_amount_formatted,slippage_limit_percent,price_per_token,user_address,chain_id,quoted_at,expires_at,is_valid
8980,3,2,BUY,USDC,1000000000,uNEAR,415454914975500200000,415454914975500.18750000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:13:49.633632+00:00,,True
9004,3,1,BUY,USDC,1000000000,uNEAR,413485621854666555392,413485621854666.56250000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:13:57.093112+00:00,,True
9022,3,2,BUY,USDC,1000000000,uNEAR,415454574294724500000,415454574294724.50000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:09.535245+00:00,,True
9046,3,1,BUY,USDC,1000000000,uNEAR,413511869748787740672,413511869748787.75000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:16.931655+00:00,,True
9068,3,2,BUY,USDC,1000000000,uNEAR,415428817330587700000,415428817330587.68750000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:30.085499+00:00,,True
9088,3,1,BUY,USDC,1000000000,uNEAR,413560071100235317248,413560071100235.31250000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:34.795114+00:00,,True
9114,3,2,BUY,USDC,1000000000,uNEAR,415428474569953900000,415428474569953.87500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:50.722130+00:00,,True
9138,3,1,BUY,USDC,1000000000,uNEAR,413590212454666928128,413590212454666.93750000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:14:56.394403+00:00,,True
9160,3,2,BUY,USDC,1000000000,uNEAR,415454576790554370000,415454576790554.37500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:09.746878+00:00,,True
9176,3,1,BUY,USDC,1000000000,uNEAR,413590114125041369088,413590114125041.37500000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:13.561488+00:00,,True
9204,3,2,BUY,USDC,1000000000,uNEAR,415454919551188250000,415454919551188.25000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:29.271578+00:00,,True
9228,3,1,BUY,USDC,1000000000,uNEAR,413513543938463760384,413513543938463.75000000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:37.063244+00:00,,True
9248,3,2,BUY,USDC,1000000000,uNEAR,415509432971943850000,415509432971943.87500000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:49.878144+00:00,,True
9270,3,1,BUY,USDC,1000000000,uNEAR,413428127761000366080,413428127761000.37500000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:15:57.269317+00:00,,True
9290,3,2,BUY,USDC,1000000000,uNEAR,415682850932282750000,415682850932282.75000000,0.20,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:09.765651+00:00,,True
9312,3,1,BUY,USDC,1000000000,uNEAR,414345448653425803264,414345448653425.81250000,0.50,0E-8,0xaf603d15a42A7f9598f32B2452836d48F143bF67,8453,2025-06-08 04:16:15.157624+00:00,,True
